Id,job,sector,Month_salary,13_salary,eventual_salary,indemnity,extra_salary,discount_salary,total_salary
1,OFICIAL ADMINISTRATIVO,DETRAN,2315.810,0.000,0.000,0.000,73.850,0.000,1929.340
2,SD 2C PM,PM,3034.050,0.000,0.000,0.000,651.820,0.000,2265.960
3,1TEN  PM,PM,8990.980,0.000,0.000,0.000,626.750,0.000,6933.040
4,MAJ   PM,SPPREV,13591.020,0.000,0.000,0.000,0.000,0.000,10568.360
5,AG.TEC. DE ASSIT. A SAUDE,HCFMUSP,4203.670,0.000,0.000,0.000,0.000,0.000,3561.880
6,SD 1C PM,PM,4373.690,0.000,0.000,0.000,451.260,0.000,4152.980
7,1CFO  PM,PM,2311.760,0.000,0.000,0.000,0.000,0.000,1967.280
8,BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP,SPPREV,1699.190,0.000,0.000,0.000,0.000,0.000,1699.190
9,CABO  PM,PM,3767.780,0.000,0.000,0.000,626.750,0.000,2703.470
10,SD 1C PM,PM,3821.990,603.570,0.000,0.000,601.680,0.000,3010.040
11,PROFESSOR EDUCACAO BASICA II,SPPREV,3340.510,0.000,0.000,0.000,0.000,0.000,3273.700
12,COMPLEM. PENSAO - FEPASA,ADM GERAL,3167.930,0.000,0.000,0.000,0.000,0.000,1117.450
13,BENEFICIARIO DA POLICIA MILITAR - CBPM,SPPREV,11508.180,959.010,191.790,0.000,0.000,0.000,11023.010
14,PROFESSOR EDUCACAO BASICA I,SPPREV,2536.670,0.000,0.000,0.000,0.000,0.000,2449.030
15,1SGT  PM,SPPREV,6313.680,0.000,0.000,0.000,0.000,0.000,3400.740
16,AGENTE DE SERVICOS ESCOLARES,SPPREV,1798.560,0.000,0.000,0.000,0.000,0.000,1296.670
17,AGENTE DE ORGANIZACAO ESCOLAR,EDUCACAO,1549.390,774.690,0.000,0.000,69.030,0.000,2106.490
18,BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP,SPPREV,1034.790,0.000,0.000,0.000,0.000,0.000,723.520
19,BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP,SPPREV,1685.550,0.000,0.000,0.000,0.000,0.000,1668.700
20,PROFESSOR EDUCACAO BASICA I,SPPREV,3153.230,0.000,0.000,0.000,0.000,0.000,1942.260
21,PROFESSOR EDUCACAO BASICA I,SPPREV,3532.830,0.000,0.000,0.000,0.000,0.000,3462.180
22,DIRETOR DE ESCOLA,SPPREV,5034.230,0.000,0.000,0.000,0.000,0.000,4502.490
23,PROFESSOR EDUCACAO BASICA II,SPPREV,3794.250,0.000,0.000,0.000,0.000,0.000,3500.790
24,PROFESSOR EDUCACAO BASICA I,SPPREV,3258.690,0.000,0.000,0.000,0.000,0.000,3116.400
25,BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP,SPPREV,1093.620,0.000,0.000,0.000,0.000,0.000,1093.620
26,BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP,SPPREV,7723.260,0.000,0.000,0.000,0.000,0.000,6740.280
27,AGENTE DE SERVICOS ESCOLARES,SPPREV,1927.060,0.000,0.000,0.000,0.000,0.000,1132.080
28,BENEFICIARIO DE SERVIDOR ESTADUAL-IPESP,SPPREV,1262.270,0.000,0.000,0.000,0.000,0.000,963.610
29,COMPLEM. PENSAO - FEPASA,ADM GERAL,1681.210,0.000,0.000,0.000,0.000,0.000,699.210
30,PROFESSOR EDUCACAO BASICA I,EDUCACAO,3517.150,1758.570,0.000,0.000,512.920,0.000,4106.750
31,COMPLEM. PENSAO - FEPASA,ADM GERAL,1410.770,0.000,0.000,0.000,0.000,0.000,376.930
32,COMPLEM. PENSAO - FEPASA,ADM GERAL,2916.330,0.000,0.000,0.000,0.000,0.000,1802.470
33,PROFESSOR EDUCACAO BASICA I,SPPREV,3739.230,0.000,0.000,0.000,0.000,0.000,2454.940
34,PROFESSOR EDUCACAO BASICA II,SPPREV,3797.290,0.000,0.000,0.000,0.000,0.000,3016.600
35,OFICIAL ADMINISTRATIVO,SPPREV,1062.540,0.000,0.000,0.000,0.000,0.000,633.980
36,COMPLEMENTACAO PENSAO - BANESPA,ADM GERAL,4494.160,0.000,0.000,0.000,0.000,0.000,2170.690
37,COMPLEM. PENSAO - FEPASA,ADM GERAL,1410.770,0.000,0.000,0.000,0.000,0.000,428.770
38,PROFESSOR EDUCACAO BASICA II,SPPREV,3752.230,0.000,0.000,0.000,0.000,0.000,3637.070
39,OFICIAL ADMINISTRATIVO,PGE,2212.730,0.000,0.000,0.000,399.430,0.000,1356.090
40,PROFESSOR EDUCACAO BASICA I,SPPREV,2208.580,0.000,0.000,0.000,0.000,0.000,2163.010
